"ENS_rec" "ENS_lig" "SYMBOL.rec" "SYMBOL.lig" "V5"
"1" "ENSMUSG00000041075" "ENSMUSG00000000125" "Fzd7" "Wnt3" 1
"2" "ENSMUSG00000044674" "ENSMUSG00000000125" "Fzd1" "Wnt3" 2
"3" "ENSMUSG00000032547" "ENSMUSG00000000125" "Ryk" "Wnt3" 3
"4" "ENSMUSG00000036904" "ENSMUSG00000000125" "Fzd8" "Wnt3" 4
"5" "ENSMUSG00000030201" "ENSMUSG00000000125" "Lrp6" "Wnt3" 5
"6" "ENSMUSG00000005320" "ENSMUSG00000000182" "Fgfr4" "Fgf23" 6
"7" "ENSMUSG00000030849" "ENSMUSG00000000182" "Fgfr2" "Fgf23" 7
"8" "ENSMUSG00000054252" "ENSMUSG00000000182" "Fgfr3" "Fgf23" 8
"9" "ENSMUSG00000031565" "ENSMUSG00000000182" "Fgfr1" "Fgf23" 9
"10" "ENSMUSG00000030849" "ENSMUSG00000000183" "Fgfr2" "Fgf6" 10
"11" "ENSMUSG00000031565" "ENSMUSG00000000183" "Fgfr1" "Fgf6" 11
"12" "ENSMUSG00000005320" "ENSMUSG00000000183" "Fgfr4" "Fgf6" 12
"13" "ENSMUSG00000054252" "ENSMUSG00000000183" "Fgfr3" "Fgf6" 13
"14" "ENSMUSG00000005534" "ENSMUSG00000000215" "Insr" "Ins2" 14
"15" "ENSMUSG00000016493" "ENSMUSG00000000303" "Cd46" "Cdh1" 15
"16" "ENSMUSG00000005533" "ENSMUSG00000000303" "Igf1r" "Cdh1" 16
"17" "ENSMUSG00000033278" "ENSMUSG00000000303" "Ptprm" "Cdh1" 17
"18" "ENSMUSG00000022687" "ENSMUSG00000000303" "Boc" "Cdh1" 18
"19" "ENSMUSG00000033295" "ENSMUSG00000000303" "Ptprf" "Cdh1" 19
"20" "ENSMUSG00000038119" "ENSMUSG00000000303" "Cdon" "Cdh1" 20
"21" "ENSMUSG00000009376" "ENSMUSG00000000303" "Met" "Cdh1" 21
"22" "ENSMUSG00000001281" "ENSMUSG00000000303" "Itgb7" "Cdh1" 22
"23" "ENSMUSG00000005947" "ENSMUSG00000000303" "Itgae" "Cdh1" 23
"24" "ENSMUSG00000000303" "ENSMUSG00000000303" "Cdh1" "Cdh1" 24
"25" "ENSMUSG00000020122" "ENSMUSG00000000303" "Egfr" "Cdh1" 25
"26" "ENSMUSG00000062312" "ENSMUSG00000000303" "Erbb2" "Cdh1" 26
"27" "ENSMUSG00000061048" "ENSMUSG00000000303" "Cdh3" "Cdh1" 27
"28" "ENSMUSG00000001507" "ENSMUSG00000000392" "Itga3" "Fap" 28
"29" "ENSMUSG00000025809" "ENSMUSG00000000392" "Itgb1" "Fap" 29
"30" "ENSMUSG00000046223" "ENSMUSG00000000392" "Plaur" "Fap" 30
"31" "ENSMUSG00000024027" "ENSMUSG00000000394" "Glp1r" "Gcg" 31
"32" "ENSMUSG00000025127" "ENSMUSG00000000394" "Gcgr" "Gcg" 32
"33" "ENSMUSG00000049928" "ENSMUSG00000000394" "Glp2r" "Gcg" 33
"34" "ENSMUSG00000040249" "ENSMUSG00000000489" "Lrp1" "Pdgfb" 34
"35" "ENSMUSG00000018593" "ENSMUSG00000000489" "Sparc" "Pdgfb" 35
"36" "ENSMUSG00000029231" "ENSMUSG00000000489" "Pdgfra" "Pdgfb" 36
"37" "ENSMUSG00000025810" "ENSMUSG00000000489" "Nrp1" "Pdgfb" 37
"38" "ENSMUSG00000024620" "ENSMUSG00000000489" "Pdgfrb" "Pdgfb" 38
"39" "ENSMUSG00000040152" "ENSMUSG00000000489" "Thbs1" "Pdgfb" 39
"40" "ENSMUSG00000025969" "ENSMUSG00000000627" "Nrp2" "Sema4f" 40
"41" "ENSMUSG00000026009" "ENSMUSG00000000732" "Icos" "Icosl" 41
"42" "ENSMUSG00000024778" "ENSMUSG00000000817" "Fas" "Fasl" 42
"43" "ENSMUSG00000031289" "ENSMUSG00000000869" "Il13ra2" "Il4" 43
"44" "ENSMUSG00000031304" "ENSMUSG00000000869" "Il2rg" "Il4" 44
"45" "ENSMUSG00000040747" "ENSMUSG00000000869" "Cd53" "Il4" 45
"46" "ENSMUSG00000030748" "ENSMUSG00000000869" "Il4ra" "Il4" 46
"47" "ENSMUSG00000017057" "ENSMUSG00000000869" "Il13ra1" "Il4" 47
"48" "ENSMUSG00000079227" "ENSMUSG00000000982" "Ccr5" "Ccl3" 48
"49" "ENSMUSG00000025804" "ENSMUSG00000000982" "Ccr1" "Ccl3" 49
"50" "ENSMUSG00000047898" "ENSMUSG00000000982" "Ccr4" "Ccl3" 50
"51" "ENSMUSG00000044534" "ENSMUSG00000000982" "Ackr2" "Ccl3" 51
"52" "ENSMUSG00000035448" "ENSMUSG00000000982" "Ccr3" "Ccl3" 52
"53" "ENSMUSG00000047880" "ENSMUSG00000000982" "Cxcr5" "Ccl3" 53
"54" "ENSMUSG00000020689" "ENSMUSG00000001014" "Itgb3" "Icam4" 54
"55" "ENSMUSG00000027009" "ENSMUSG00000001014" "Itga4" "Icam4" 55
"56" "ENSMUSG00000027087" "ENSMUSG00000001014" "Itgav" "Icam4" 56
"57" "ENSMUSG00000025809" "ENSMUSG00000001014" "Itgb1" "Icam4" 57
"58" "ENSMUSG00000000290" "ENSMUSG00000001014" "Itgb2" "Icam4" 58
"59" "ENSMUSG00000023926" "ENSMUSG00000001014" "Rhag" "Icam4" 59
"60" "ENSMUSG00000034664" "ENSMUSG00000001014" "Itga2b" "Icam4" 60
"61" "ENSMUSG00000030830" "ENSMUSG00000001014" "Itgal" "Icam4" 61
"62" "ENSMUSG00000030786" "ENSMUSG00000001014" "Itgam" "Icam4" 62
